Sl. No,NameOfIncident,Date,Month,Year,Country,TypeOfEvent,PlaceName,Impact,AffectedPopulation,ImportantPersonGroupResponsible,Outcome,latitude,longitude
697,California Gold Rush,             ,January,1848.0,United States,Economic,California,Led to a massive influx of settlers and rapid economic growth.,Prospective miners,James W. Marshall,Positive,36.7014631,-118.755997
698,Seneca Falls Convention,19,July,1848.0,United States,Social Movement,"Seneca Falls, NY","First women's rights convention in the U.S., sparking the suffrage movement.","Women, activists","Elizabeth Cady Stanton, Lucretia Mott",Positive,42.910719,-76.7967848
699,Emancipation Proclamation,1,January,1863.0,United States,Legislative,Southern United States,Declared the freedom of all slaves in ConfederateUnknownheld territory.,Enslaved African Americans,Abraham Lincoln,Positive,25.8061627,-80.34826925819738
700,Transcontinental Railroad Completed,10,May,1869.0,United States,Infrastructure,"Promontory, Utah","Connected the East and West coasts, facilitating travel and commerce.",American settlers,"Union Pacific, Central Pacific Railroads",Positive,40.7230541,-111.4517127
702,Wright Brothers' First Flight,17,December,1903.0,United States,Aviation,"Kitty Hawk, NC",Marked the beginning of powered flight and the aviation era.,Global population,Orville and Wilbur Wright,Positive,36.0664318,-75.6935448
703,MexicanUnknownAmerican War,             ,April,1846.0,United States,Military,Southwestern United States,Resulted in U.S. acquiring territories including California and New Mexico.,"Mexican, American citizens",James K. Polk,Positive,,
704,Dred Scott Decision,6,March,1857.0,United States,Judicial,"Supreme Court, Washington D.C.",Ruled African Americans could not be American citizens and negated Missouri Compromise.,African Americans,Supreme Court,Negative,38.8905926,-77.00443904623879
706,Completion of the Panama Canal,15,August,1914.0,United States,Engineering Achievement,Panama,Facilitated maritime trade between Atlantic and Pacific oceans.,Global shipping industry,"Theodore Roosevelt, Engineers",Positive,41.7263168,-95.4720389
707,Entry into World War I,6,April,1917.0,United States,Military,Europe,"Marked U.S. entry into WWI, significant impact on the war's outcome.","European, American forces",Woodrow Wilson,Mixed,41.8182821,-88.0757757
710,Attack on Pearl Harbor,7,December,1941.0,United States,Military,"Pearl Harbor, HI",Prompted U.S. entry into World War II.,"American military, civilians",Imperial Japanese Navy,Negative,21.35577465,-157.95521107461963
711,Manhattan Project and Atomic Bombing of Hiroshima and Nagasaki,Unknown,July,1945.0,United States,Military/Science,"Hiroshima, Nagasaki","Led to the end of World War II, significant ethical and geopolitical implications.","Japanese civilians, global community","U.S. Government, Scientists",Mixed,,
712,Marshall Plan Implementation,             ,Unknown,1948.0,United States,Economic Aid,Western Europe,"U.S. program to aid Europe's recovery postUnknownWWII, strengthened Western alliances.",European nations,George Marshall,Positive,39.6393647,-106.3655342
713,United Nations Charter Ratification,26,June,1945.0,United States,International Relations,"San Francisco, CA","Founding of the United Nations, promoting international cooperation and peace.",Global community,"Franklin D. Roosevelt, International Leaders",Positive,37.7792588,-122.4193286
714,Founding of Jamestown,14,May,1607.0,United States,Settlement,"Jamestown, VA","First permanent English settlement in the Americas, economic and cultural development.","English settlers, Native Americans","John Smith, Virginia Company of London",Positive,37.2089184,-76.7783003
715,Salem Witch Trials,             ,February,1692.0,United States,Legal,"Salem, MA",Series of hearings and prosecutions of people accused of witchcraft.,Residents of Salem,Local magistrates,Negative,42.5195292,-70.8967226
716,French and Indian War,             ,Unknown,1754.0,United States,Military,Eastern North America,"Conflict between British America and New France, part of a larger imperial war.","British, French colonies, Native Americans",British and French Empires,Mixed,37.87352525,-122.23834776150034
717,Boston Massacre,5,March,1770.0,United States,PreUnknownRevolutionary Conflict,"Boston, MA","British soldiers killed five civilian men, fueling tensions leading to the revolution.",American colonists,British Army,Negative,42.3554334,-71.060511
718,Writing of the Federalist Papers,             ,October,1787.0,United States,Political,"New York, NY",Essays promoting the ratification of the U.S. Constitution.,American public,"Alexander Hamilton, James Madison, John Jay",Positive,40.7127281,-74.0060152
720,Missouri Compromise,             ,March,1820.0,United States,Legislative,Missouri,Attempted to balance power between slave and free states entering the Union.,"American settlers, slaves",Henry Clay,Mixed,38.7604815,-92.5617875
721,Trail of Tears,             ,Unknown,1838.0,United States,Forced Relocation,Southeastern United States,"Forced removal of Cherokee and other tribes from their lands, many deaths.",Native American tribes,Andrew Jackson,Negative,41.3547558,-72.1136767
722,Compromise of 1850,             ,September,1850.0,United States,Legislative,Washington D.C.,Series of laws attempting to address slavery and territorial expansion.,"American public, slaves","Henry Clay, Stephen A. Douglas",Mixed,38.8950368,-77.0365427
724,Alaska Purchase,30,March,1867.0,United States,Territorial Acquisition,Alaska,"Acquisition of Alaska from Russia, significantly expanding U.S. territory.",American settlers,William H. Seward,Positive,64.4459613,-149.680909
725,Reconstruction Era,             ,Unknown,1865.0,United States,PostUnknownCivil War Reconstruction,Southern USA,"Attempt to rebuild and reform the Southern states postUnknownCivil War, mixed success.","Southern Americans, freed slaves",U.S. Government,Mixed,29.9455314,-95.327115
727,Confederation of Canada,1,July,1867.0,Canada,Political,Ottawa,Unification of provinces into a single dominion within the British Empire.,Canadians,"John A. Macdonald, GeorgeUnknownÉtienne Cartier",Positive,45.4208777,-75.6901106
729,Battle of Vimy Ridge,9,April,1917.0,Canada,Military,"Vimy Ridge, France",Marked a turning point in Canadian national pride and military achievement.,Canadian soldiers,Canadian Corps,Positive,,
730,Discovery of Insulin,27,July,1921.0,Canada,Medical,Toronto,"Revolutionized the treatment of diabetes, saving countless lives.",Diabetics worldwide,"Frederick Banting, Charles Best",Positive,43.6534817,-79.3839347
731,Newfoundland Joins Canada,31,March,1949.0,Canada,Political,Newfoundland,Newfoundland became the tenth province of Canada.,Newfoundlanders,Joey Smallwood,Positive,49.12119115,-56.64032459262498
732,Adoption of the Maple Leaf Flag,15,February,1965.0,Canada,Cultural,Ottawa,The maple leaf became the national symbol on Canada's flag.,Canadians,Lester B. Pearson,Positive,45.4208777,-75.6901106
734,Canada Act 1982 (Patriation of the Constitution),17,April,1982.0,Canada,Legislative,Ottawa,"Gave Canada full sovereignty, including the ability to amend its constitution.",Canadians,"Pierre Elliott Trudeau, Queen Elizabeth II",Positive,45.4208777,-75.6901106
735,Oka Crisis,11,July,1990.0,Canada,Social Unrest,"Oka, Quebec","Standoff between Mohawk protesters, Quebec police, and the Canadian army.","Mohawk community, Canadians","Mohawk protestors, Canadian government",Negative,45.4612534,-74.0905549
736,NAFTA Agreement Signed,17,December,1992.0,Canada,Economic,Ottawa,North American Free Trade Agreement altered trade relations with the U.S. and Mexico.,Canadian businesses,Brian Mulroney,Mixed,45.4208777,-75.6901106
737,Apology to Residential School Survivors,11,June,2008.0,Canada,Social Justice,Ottawa,Official apology to Indigenous peoples for the residential school system.,Indigenous communities,Stephen Harper,Positive,45.4208777,-75.6901106
738,Vancouver Winter Olympics,12,February,2010.0,Canada,Sports,Vancouver,"Hosted the Winter Olympics, showcasing Canada on the world stage.","Athletes, global audience",VANOC,Positive,49.2608724,-123.113952
742,Fort McMurray Wildfire,1,May,2016.0,Canada,Natural Disaster,"Fort McMurray, AB","One of Canada's costliest disasters, leading to massive evacuations.",Residents of Fort McMurray,Unknown,Negative,56.7291997,-111.3885221
743,Establishment of Nunavut,1,April,1999.0,Canada,Political,Northern Canada,"Creation of Nunavut as a territory, acknowledging Inuit selfUnknowngovernance.",Inuit population,"Canadian Government, Inuit leaders",Positive,,
744,Quebec Referendum on Sovereignty,30,October,1995.0,Canada,Political,Quebec,"Referendum on Quebec's independence from Canada, narrowly defeated.",Quebecers,"Jacques Parizeau, Lucien Bouchard",Negative,52.4760892,-71.8258668
746,Red River Resistance,             ,Unknown,1869.0,Canada,Political,Red River Colony,"Led by Métis leader Louis Riel, resisting Canadian authority to maintain Métis rights and culture.","Métis, settlers",Louis Riel,Mixed,49.8828344,-97.1285858
747,Klondike Gold Rush,             ,Unknown,1896.0,Canada,Economic,Yukon,"Attracted thousands of prospectors to the Yukon, significant economic impact.","Prospectors, Indigenous peoples",Unknown,Positive,63.000147,-136.002502
748,Halifax Explosion,6,December,1917.0,Canada,Disaster,"Halifax, NS","One of the world's largest nonUnknownnuclear explosions, devastating Halifax.",Residents of Halifax,Unknown,Negative,44.648618,-63.5859487
749,Internment of Japanese Canadians,             ,Unknown,1942.0,Canada,Civil Rights Violation,British Columbia,"Internment of Japanese Canadians during WWII, violation of civil liberties.",Japanese Canadian community,Canadian Government,Negative,55.001251,-125.002441
750,Discovery of Oil in Alberta,13,February,1947.0,Canada,Economic,"Leduc, Alberta","Led to Alberta's oil boom, transforming Canada's energy sector.",Canadian economy,Imperial Oil,Positive,53.2607825,-113.5511681
751,Balfour Declaration of 1926,18,November,1926.0,Canada,Political,"London, UK",Recognized Canada and other dominions as autonomous within the British Empire.,Canadians,Imperial Conference of 1926,Positive,,
752,Statute of Westminster,11,December,1931.0,Canada,Legislative,"London, UK",Gave Canada legislative independence from the UK.,Canadians,British Parliament,Positive,,
754,Discovery of Insulin,27,July,1921.0,Canada,Medical,Toronto,Revolutionized the treatment of diabetes globally.,Diabetics worldwide,"Frederick Banting, Charles Best",Positive,43.6534817,-79.3839347
755,Joining of Newfoundland,31,March,1949.0,Canada,Political,Newfoundland,Newfoundland became Canada's tenth province.,Newfoundlanders,Joey Smallwood,Positive,49.12119115,-56.64032459262498
756,Creation of the Canadian Flag,15,February,1965.0,Canada,Cultural,Ottawa,Adoption of the red maple leaf flag as the national flag of Canada.,Canadians,Lester B. Pearson,Positive,45.4208777,-75.6901106
758,Patriation of the Canadian Constitution,17,April,1982.0,Canada,Legislative,Ottawa,Canada gained full sovereignty with the ability to amend its own constitution.,Canadians,"Pierre Elliott Trudeau, Queen Elizabeth II",Positive,45.4208777,-75.6901106
759,Establishment of Nunavut,1,April,1999.0,Canada,Political,Northern Canada,Creation of Nunavut provided a separate territory for the Inuit people.,Inuit population,Canadian Government,Positive,,
760,Signing of the Magna Carta,15,June,1215.0,United Kingdom,Legal,Runnymede,Foundation of constitutional law,English society,King John of England,Positive,51.3948374,-0.5519609464752796
761,Establishment of the Church of England,Unknown,March,1534.0,United Kingdom,Religious Reformation,London,Established a national church separate from the Catholic Church,English population,King Henry VIII,Positive,51.4893335,-0.1440550845276872
762,Defeat of the Spanish Armada,8,August,1588.0,United Kingdom,Military,English Channel,Ensured English naval dominance,English population,Queen Elizabeth I,Positive,50.780805,-0.678208
763,Union of the Crowns,24,March,1603.0,United Kingdom,Political,London,James VI of Scotland also became James I of England, uniting the crowns,"Scottish and English populations, James VI and I",Positive,51.4893335,-0.1440550845276872
764,English Civil War Begins,22,August,1642.0,United Kingdom,Civil War,England,Establishment of Parliamentary supremacy over the monarchy,English population,"King Charles I,  Oliver Cromwell",Mixed,52.5310214,-1.2649062
765,The Restoration of the Monarchy,29,May,1660.0,United Kingdom,Political,London,Restored the monarchy under Charles II,English population,Charles II,Positive,51.4893335,-0.1440550845276872
768,Act of Union with Ireland,1,January,1801.0,United Kingdom,Union,London,United Great Britain and Ireland,Creating the United Kingdom,"Irish and British populations, Parliament of Great Britain and Ireland",Positive,51.4893335,-0.1440550845276872
769,Battle of Trafalgar,21,October,1805.0,United Kingdom,Military,Cape Trafalgar,Ensured British naval supremacy,Napoleonic France,Admiral Nelson,Positive,,
770,Reform Act 1832,Unknown,Unknown,1832.0,United Kingdom,Political Reform,"Parliament, London",Expanded electoral franchise and reformed Parliament,British electorate,Parliament of the United Kingdom,Positive,51.4993886,-0.1244809742087879
771,Queen Victoria's Reign Begins,20,June,1837.0,United Kingdom,Monarchical,London,Marked the beginning of the Victorian Era,British Empire,Queen Victoria,Positive,51.4893335,-0.1440550845276872
772,"Publication of Darwin's ""On the Origin of Species""",24,November,1859.0,United Kingdom,Scientific,London,Laid the foundation of evolutionary biology,Scientific community,Charles Darwin,Positive,51.4893335,-0.1440550845276872
775,Suez Crisis,Unknown,Unknown,1956.0,United Kingdom,International Conflict,Suez Canal,Marked the decline of Britain's imperial power,UK and Egypt,UK Government,Negative,,
776,The Beatles' Rise to Fame,Unknown,Unknown,1962.0,United Kingdom,Cultural,Liverpool,Global cultural impact through music,Worldwide,The Beatles,Positive,53.4071991,-2.99168
777,Falklands War,2,April,1982.0,United Kingdom,Military,Falkland Islands,Reasserted British control over the Falklands,UK and Argentina,UK Government,Mixed,52.7284091,-1.7291593
778,Good Friday Agreement,10,April,1998.0,United Kingdom,Peace Process,Northern Ireland,Ended most of the violence of the Troubles,Northern Irish population,UK and Irish Governments,Positive,54.5859836,-6.9591554
780,Great Fire of London,2,September,1666.0,United Kingdom,Disaster,London,Destruction of much of medieval London,London's population,Unspecified,Negative,51.4893335,-0.1440550845276872
781,Abolition of the Slave Trade Act,25,March,1807.0,United Kingdom,Legislation,"Parliament, London",Ended British trade in enslaved Africans,British Empire,William Wilberforce,Positive,51.4993886,-0.1244809742087879
783,Women's Suffrage Achieved,6,February,1918.0,United Kingdom,Social Reform,"Parliament, London",Granted voting rights to women over 30,British women,UK Government,Positive,51.4993886,-0.1244809742087879
786,First Human DNA Sequencing,10,May,1997.0,United Kingdom,Scientific,Aldermaston,Significant advancement in genetics and medicine,Global scientific community,Frederick Sanger,Positive,51.38267,-1.1518107
787,Scottish Devolution Referendum,11,September,1997.0,United Kingdom,Political,Scotland,Established a devolved Scottish Parliament,Scottish population,UK Government,Positive,56.7861112,-4.1140518
788,London Underground Bombings,7,July,2005.0,United Kingdom,Terrorism,London,Major terrorist attack on public transport,London's population,Islamist terrorists,Negative,51.4893335,-0.1440550845276872
789,2012 London Olympics,27,July,2012.0,United Kingdom,Sporting Event,London,Showcased UK on global stage and boosted economy,UK and global visitors,International Olympic Committee,Positive,51.4893335,-0.1440550845276872
791,Scottish Independence Referendum,18,September,2014.0,United Kingdom,Political,Scotland,Scotland voted to remain in the UK,Scottish population,Scottish Government,Positive,56.7861112,-4.1140518
792,Grenfell Tower Fire,14,June,2017.0,United Kingdom,Disaster,London,Deadly fire causing significant loss of life and raising safety concerns,London's population,Local authorities,Negative,51.4893335,-0.1440550845276872
793,COVIDUnknown19 Pandemic in the UK,March,Unknown,2020.0,United Kingdom,Health,London,Significant impact on public health and economy,British population,UK Government,Negative,51.4893335,-0.1440550845276872
794,Prince Philip's Death,9,April,2021.0,United Kingdom,Royal Event,Windsor,Marked the end of an era in the British monarchy,British population,Royal Family,Negative,51.4837886,-0.6040418665032687
796,First Television Broadcast by BBC,2,November,1936.0,United Kingdom,Media,London,Beginning of television broadcasting,British population,BBC,Positive,51.4893335,-0.1440550845276872
797,Signing of the AngloUnknownIrish Treaty,6,December,1921.0,United Kingdom,Political Agreement,London,Established the Irish Free State and ended the Irish War of Independence,Irish population,UK Government,Positive,51.4893335,-0.1440550845276872
798,Creation of the Commonwealth of Nations,28,April,1949.0,United Kingdom,International Organization,London,Formation of an intergovernmental organization of former British colonies,Member states,UK Government,Positive,51.4893335,-0.1440550845276872
800,The Glorious Revolution,Unknown,Unknown,1688.0,United Kingdom,Political,England,Established constitutional monarchy in England,English population,William of Orange,Positive,52.5310214,-1.2649062
801,Battle of Waterloo,18,June,1815.0,United Kingdom,Military,Waterloo,Defeat of Napoleon and end of the Napoleonic Wars,British and allied armies,Duke of Wellington,Positive,51.5030015,-0.1139812
803,Discovery of Penicillin,28,September,1928.0,United Kingdom,Medical,St Mary's Hospital,London,Revolutionized medicine and treatment of bacterial infections,Global population,Positive,51.51746915,-0.1743178530004681
805,Queen Elizabeth II's Coronation,2,June,1953.0,United Kingdom,Royal Event,Westminster Abbey,Beginning of the second Elizabethan era,British population,Queen Elizabeth II,Positive,51.499399,-0.1273910483333311
806,First Cloned Mammal Unknown Dolly the Sheep,5,July,1996.0,United Kingdom,Scientific,Roslin Institute,Advancement in cloning technology,Scientific community,Ian Wilmut and team,Positive,55.8619944,-3.1697663
807,UK Hosts the G8 Summit,17,July,2005.0,United Kingdom,International Politics,Gleneagles,Focus on climate change and Africa's development,Global leaders,UK Government,Positive,56.2830186,-3.7524682
808,Theresa May becomes Prime Minister,13,July,2016.0,United Kingdom,Political,London,Second female Prime Minister in UK history,British population,Conservative Party,Mixed,51.4893335,-0.1440550845276872
810,Stonehenge Completion,Unknown,Unknown,-2500.0,United Kingdom,Prehistoric Monument,Salisbury Plain,Creation of iconic Neolithic monument,Ancient Britons,Neolithic builders,Positive,51.2486531,-1.89348305766598
812,First English Parliament,20,January,1265.0,United Kingdom,Political,Oxford,Formation of the first English Parliament,English nobility,Simon de Montfort,Positive,51.7520131,-1.2578499
813,Battle of Agincourt,25,October,1415.0,United Kingdom,Military,Agincourt,Decisive English victory in the Hundred Years' War,English and French armies,Henry V,Positive,54.8636522,-1.4898488
815,The Armada Portrait of Elizabeth I,Unknown,Unknown,1588.0,United Kingdom,Cultural,London,Symbolized English victory over the Spanish Armada,English society,Elizabeth I,Positive,51.4893335,-0.1440550845276872
816,Act of Supremacy,3,November,1534.0,United Kingdom,Legislation,"Parliament, London",Confirmed the King's status as head of the Church of England,English Church,Henry VIII,Positive,51.4993886,-0.1244809742087879
817,Bloody Sunday in Northern Ireland,30,January,1972.0,United Kingdom,Civil Rights,Derry,Civil rights protest turned deadly,Northern Irish civilians,British Army,Negative,54.9978678,-7.3213056
821,Battle of Tours,10,October,732.0,France,Battle,Tours,Christian Franks defeat Muslim forces  halting the advance of Islam into Western Europe,European Christians,Charles Martel,Positive,47.3900474,0.6889268
822,Signing of the Treaty of Verdun,Unknown,Unknown,843.0,France,Treaty,Verdun,Division of the Carolingian Empire among Charlemagne's grandsons  leading to the formation of modern European states,Carolingian heirs,Louis the Pious' sons,Positive,49.1589278,5.3867277
823,Coronation of Charlemagne as Holy Roman Emperor,25,December,800.0,France,Coronation,Rome,Establishment of the Holy Roman Empire,European Christians,Charlemagne,Positive,48.8823012,2.3213298
824,Launch of the First Crusade,27,November,1095.0,France,Crusade,Clermont,Initiation of the Crusades to the Holy Land,European Christians,Pope Urban II,Positive,49.3780921,2.4141907
825,Establishment of the University of Paris,Unknown,Unknown,1150.0,France,Education,Paris,Foundation of one of the first universities in Europe,European scholars,King Louis VII,Positive,48.8534951,2.3483915
827,Joan of Arc lifts the Siege of Orléans,8,May,1429.0,France,Military,Orléans,Major turning point in the Hundred Years' War,French population,Joan of Arc,Positive,47.9027336,1.9086066
830,Publication of the Edict of Nantes,13,April,1598.0,France,Treaty,Nantes,Grant of religious freedom to Huguenots reducing religious conflicts,French Huguenots,Henry IV,Positive,47.2186371,-1.5541362
831,Start of the French Revolution,14,July,1789.0,France,Revolution,Paris,Beginning of the end of monarchy and rise of the Republic,French population,Revolutionaries,Positive,48.8534951,2.3483915
832,Execution of Louis XVI,21,January,1793.0,France,Execution,Paris,Symbolic end of absolute monarchy and start of the Republic,French population,Revolutionary government,Negative,48.8534951,2.3483915
833,Napoleon Bonaparte's Coup d'Etat,9,November,1799.0,France,Political Coup,Paris,Establishment of the Consulate  ending the French Revolution,French population,Napoleon Bonaparte,Positive,48.8534951,2.3483915
834,Napoleonic Code Enacted,21,March,1804.0,France,Legislation,Paris,Foundation of modern legal systems in many countries,French population,Napoleon Bonaparte,Positive,48.8534951,2.3483915
836,Establishment of the Fifth Republic,4,October,1958.0,France,Political Change,Paris,New constitution and government structure strengthening presidential power,French population,Charles de Gaulle,Positive,48.8534951,2.3483915
837,May 1968 Protests,Unknown,May,1968.0,France,Social Movement,Paris,Major social upheaval challenging traditional institutions,French students and workers,Student and worker unions,Mixed,48.8534951,2.3483915
838,SameUnknownSex Marriage Legalized,18,May,2013.0,France,Legislation,Paris,Legalization of sameUnknownsex marriage in France,French LGBTQ+ community,French Government,Positive,48.8534951,2.3483915
839,NotreUnknownDame de Paris Fire,15,April,2019.0,France,Disaster,Paris,Destruction and damage to a historic landmark,Global and French population,Unknown,Negative,48.8534951,2.3483915
841,France Wins the 2018 FIFA World Cup,15,July,2018.0,France,Sport,Moscow,Second World Cup win boosting national pride,French population,French national football team,Positive,48.6796927,5.8434058
843,Battle of Agincourt,25,October,1415.0,France,Military,Agincourt,Significant English victory in the Hundred Years' War,English and French armies,Henry V,Positive,48.7323472,6.236384
844,French Revolution Begins,14,July,1789.0,France,Revolution,Paris,Overthrow of the monarchy and rise of democratic ideals,French population,Revolutionaries,Positive,48.8534951,2.3483915
845,Louis XVI Executed,21,January,1793.0,France,Execution,Paris,End of the monarchy and start of the French Republic,French population,Revolutionary government,Negative,48.8534951,2.3483915
846,Reign of Terror Begins,5,September,1793.0,France,Political,Paris,Period of extreme violence and political purges,French population,Committee of Public Safety,Negative,48.8534951,2.3483915
847,Napoleon Crowned Emperor,2,December,1804.0,France,Coronation,Paris,Establishment of the First French Empire,French population,Napoleon Bonaparte,Positive,48.8534951,2.3483915
848,End of Napoleonic Wars,18,June,1815.0,France,War,Waterloo,Defeat of Napoleon and restoration of European monarchies,European population,Allied forces,Negative,43.4967842,0.7102914
849,Second French Empire Declared,2,December,1852.0,France,Political,Paris,Establishment of the empire under Napoleon III,French population,Napoleon III,Positive,48.8534951,2.3483915
850,Paris Commune,18,March,1871.0,France,Revolt,Paris,Revolutionary government in Paris following FrancoUnknownPrussian War,Parisians,Communards,Negative,48.8534951,2.3483915
851,Dreyfus Affair,Unknown,Unknown,1894.0,France,Political Scandal,Paris,Wrongful conviction for treason exposing antiUnknownSemitism and political division,French population,Alfred Dreyfus,Mixed,48.8534951,2.3483915
852,Women Gain the Right to Vote,21,April,1944.0,France,Legislation,Paris,Women's suffrage achieved,French women,Charles de Gaulle's provisional government,Positive,48.8534951,2.3483915
853,Signing of the Treaty of Rome,25,March,1957.0,France,Political,Rome,Foundation of the European Economic Community,European populations,EEC founding members,Positive,48.8823012,2.3213298
854,May 1968 Student Protests,Unknown,May,1968.0,France,Social Movement,Paris,Major social and political upheaval,French students and workers,Student and labor unions,Mixed,48.8534951,2.3483915
855,Introduction of the Euro,1,January,1999.0,France,Economic,Paris,Adoption of the Euro as currency,European Union members,French Government,Positive,48.8534951,2.3483915
858,Rise of the Roman Republic,509,Unknown,509.0,Italy,Political Change,Rome,End of Roman Kingdom and establishment of the republic,Roman population,Republican leaders,Positive,41.8933203,12.4829321
862,Fall of the Western Roman Empire,4,September,476.0,Italy,Empire Fall,Rome,End of the Western Roman Empire and beginning of the Middle Ages,Roman population,Odoacer,Negative,41.8933203,12.4829321
863,Crowning of Charlemagne,25,December,800.0,Italy,Coronation,Rome,Establishment of the Holy Roman Empire,European Christians,Charlemagne,Positive,41.8933203,12.4829321
864,First Crusade Announced,27,November,1095.0,Italy,Religious War,Clermont (announced),Initiation of the Crusades to the Holy Land,European Christians,Pope Urban II,Positive,,
865,Signing of the Treaty of Lodi,9,April,1454.0,Italy,Treaty,Lodi,Established a balance of power among Italian cityUnknownstates,Italian cityUnknownstates,Italian rulers,Positive,45.2613104,9.491678060021837
866,Fall of Constantinople,29,May,1453.0,Italy,Conquest,Istanbul,Sparked the Renaissance through the migration of Greek scholars to Italy,Italian cityUnknownstates,Ottoman Empire,Mixed,43.335081,12.906334
867,Leonardo da Vinci Completes the Mona Lisa,Unknown,Unknown,1503.0,Italy,Artistic Achievement,Florence,Creation of one of the most famous paintings in history,Global population,Leonardo da Vinci,Positive,43.7697955,11.2556404
868,Sack of Rome,6,May,1527.0,Italy,Military Sack,Rome,End of the Renaissance in Rome,Roman population,Charles V's troops,Negative,41.8933203,12.4829321
869,Galileo Galilei's Telescope Presentation,25,August,1609.0,Italy,Scientific Achievement,Venice,Revolution in astronomical observations,Scientific community,Galileo Galilei,Positive,45.4371908,12.3345898
870,Treaty of Utrecht Ends the War of Spanish Succession,11,April,1713.0,Italy,Treaty,Utrecht,Redefined European power balance,Italian states among others,European powers,Mixed,45.5182897,12.678286
871,Unification of Italy Proclaimed,17,March,1861.0,Italy,Unification,Turin,Establishment of the Kingdom of Italy,Italian population,Victor Emmanuel II,Positive,45.0677551,7.6824892
872,Mussolini's March on Rome,28,October,1922.0,Italy,Coup,Rome,Fascist takeover of Italy,Italian population,Benito Mussolini,Negative,41.8933203,12.4829321
873,Signing of the Lateran Treaty,11,February,1929.0,Italy,Treaty,Rome,Establishment of Vatican City as an independent state,Italian population and the Catholic Church,Benito Mussolini and Pope Pius XI,Positive,41.8933203,12.4829321
875,Fall of Mussolini,25,July,1943.0,Italy,Political Change,Rome,Ouster of Benito Mussolini from power,Italian population,King Victor Emmanuel III,Negative,41.8933203,12.4829321
876,Italian Republic Established,2,June,1946.0,Italy,Referendum,Rome,End of the monarchy and establishment of a republic,Italian population,Italian voters,Positive,41.8933203,12.4829321
877,Signing of the Treaty of Rome,25,March,1957.0,Italy,Treaty,Rome,Founding of the European Economic Community,European populations,Italy and other founding members,Positive,41.8933203,12.4829321
878,Flooding of the Arno River,4,November,1966.0,Italy,Natural Disaster,Florence,Severe damage to art and cultural heritage,Florence population,Nature,Negative,43.7697955,11.2556404
879,Aldo Moro Kidnapping and Murder,16,March,1978.0,Italy,Terrorism,Rome,Political turmoil and violence,Italian population,Red Brigades,Negative,41.8933203,12.4829321
880,Mani Pulite (Clean Hands) Investigation Begins,17,February,1992.0,Italy,Corruption Investigation,Milan,Exposure of widespread political corruption,Italian political class,Italian judiciary,Positive,45.4641943,9.1896346
881,Berlusconi Elected Prime Minister,27,March,1994.0,Italy,Political Change,Rome,Shift in Italian politics and media landscape,Italian population,Silvio Berlusconi,Mixed,41.8933203,12.4829321
882,2006 Winter Olympics in Turin,10,February,2006.0,Italy,Sporting Event,Turin,Showcased Italy on a global stage,Global and Italian populations,International Olympic Committee,Positive,45.0677551,7.6824892
883,L'Aquila Earthquake,6,April,2009.0,Italy,Natural Disaster,L'Aquila,Significant loss of life and damage to heritage sites,L'Aquila population,Nature,Negative,42.1368853,13.610341022538911
884,Costa Concordia Shipwreck,13,January,2012.0,Italy,Maritime Disaster,Giglio Island,Loss of lives and environmental impact,Cruise passengers and crew,Captain Francesco Schettino,Negative,42.35316885,10.896462863160158
885,Expo 2015 in Milan,1,May,2015.0,Italy,World Expo,Milan,Global cultural and technological exhibition,Global and Italian populations,International Exhibitions Bureau,Positive,45.4641943,9.1896346
886,Funding of Christopher Columbus' Voyage,3,August,1492.0,Spain,Discovery,Atlantic Ocean,Discovery of the New World,Indigenous peoples of the Americas,Spanish Monarchy (Isabella I and Ferdinand II),Positive,,
887,Reconquista Completion,Unknown,Unknown,1492.0,Spain,Military/Religious Campaign,Granada,End of Muslim rule in the Iberian Peninsula,Muslims and Christians in Iberian Peninsula,Catholic Monarchs (Isabella I and Ferdinand II),Mixed,37.1734995,-3.5995337
888,Spanish Armada,8,August,1588.0,Spain,Naval Engagement,English Channel,Failed attempt to invade England,Spanish and English navies,Philip II of Spain,Negative,,
889,Treaty of the Pyrenees,7,November,1659.0,Spain,Peace Treaty,Pyrenees,Marked the end of the FrancoUnknownSpanish War (1635–1659),France and Spain,Philip IV of Spain and Louis XIV of France,Mixed,42.5824012,0.5388271671307273
890,War of Spanish Succession,Unknown,Unknown,1701.0,Spain,War,Europe,Established the Bourbon dynasty in Spain,European Powers,Charles II of Spain,Negative,39.5079538,2.5315622
895,2004 Madrid Train Bombings,11,March,2004.0,Spain,Terrorism,Madrid,Highlighted the threat of international terrorism,Citizens of Madrid,Terrorist groups,Negative,40.4167047,-3.7035825
897,Entry into the European Union,1,January,1986.0,Spain,Political/Economic Integration,Europe,Boosted economic growth and integration into European community,Spanish population,Spanish Government,Positive,39.5079538,2.5315622
900,Battle of Trafalgar,21,October,1805.0,Spain,Naval Battle,Atlantic Ocean near Cape Trafalgar,Decisive British victory that ended Napoleon's plans to invade Britain,Spanish and French Navies,"FrancoUnknownSpanish fleet, British Navy",Negative,,
903,War of the Spanish Succession,Unknown,Unknown,1701.0,Spain,War,Europe,Redefined European power balance,European powers,"Charles II, Philip V of Spain",Mixed,39.5079538,2.5315622
