Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,Broad Category,Continent,Other,Military and Conflict,Political Events,Technological and Scientific Advancements,Crisis and Emergency Response,Economic and Infrastructure Development,Social and Cultural Events,Environmental and Health,Legal and Judicial Changes,International Relations and Diplomacy,Historical and Monumental,Social and Civil Rights
887,Reconquista Completion,Unknown,Unknown,1492,Spain,Military/Religious Campaign,Granada,End of Muslim rule in the Iberian Peninsula,Muslims and Christians in Iberian Peninsula,Catholic Monarchs (Isabella I and Ferdinand II),Mixed,Social and Cultural Events,Europe,0.14574352,0.13314116,0.16570531,0.041594837,0.035514586,0.03403083,0.17731856,0.017135642,0.12986216,0.028326277,0.09037239,0.0012548075
888,Spanish Armada,8,August,1588,Spain,Naval Engagement,English Channel,Failed attempt to invade England,Spanish and English navies,Philip II of Spain,Negative,Social and Cultural Events,Europe,0.12052079,0.29364318,0.085549645,0.1556734,0.08773363,0.024745638,0.16287689,0.022469403,0.016314572,0.00056641275,0.013897642,0.016008796
889,Treaty of the Pyrenees,7,November,1659,Spain,Peace Treaty,Pyrenees,Marked the end of the FrancoUnknownSpanish War (1635–1659),France and Spain,Philip IV of Spain and Louis XIV of France,Mixed,Social and Cultural Events,Europe,0.09635621,0.20851225,0.15076493,0.04604173,0.043902036,0.060650833,0.17161237,0.045622695,0.05957898,0.047389176,0.06703847,0.0025302798
890,War of Spanish Succession,Unknown,Unknown,1701,Spain,War,Europe,Established the Bourbon dynasty in Spain,European Powers,Charles II of Spain,Negative,Military and Conflict,Europe,0.14793375,0.1697147,0.14199041,0.028687714,0.041295383,0.05808091,0.20406449,0.037161894,0.059860222,0.002032809,0.10874078,0.0004368853
891,Establishment of the Spanish Inquisition,1,November,1478,Spain,Religious/Court,Various,"Enforcement of Catholic orthodoxy; persecution of Jews, Muslims, and heretics",Religious minorities,Catholic Monarchs (Isabella I and Ferdinand II),Negative,Social and Cultural Events,Europe,0.14924395,0.093460895,0.15649004,0.0077608246,0.081300244,0.0063995346,0.17870304,0.010969104,0.20361066,0.007296655,0.077908926,0.026856055
892,Fall of the Spanish Empire,Unknown,Unknown,1898,Spain,Colonial,"Caribbean, Pacific",Loss of last major overseas colonies; end of Spanish imperial era,"Spanish Empire, colonies",Spanish Government,Negative,Other,Europe,0.14338176,0.18079416,0.12606989,0.04787483,0.047538288,0.05434888,0.18156853,0.07075405,0.0382373,0.00674701,0.099287026,0.003398227
893,Spanish Civil War,17,July,1936,Spain,Civil War,Spain,Establishment of Francoist dictatorship,Spanish population,"Francisco Franco, Republican Government",Negative,Military and Conflict,Europe,0.13374783,0.16793178,0.19470188,0.018979559,0.054297607,0.042426065,0.191191,0.036875997,0.065282136,0.008286694,0.086265214,1.4186769e-05
894,Transition to Democracy,20,November,1975,Spain,Political Transition,Spain,Transition from dictatorship to democracy,Spanish population,Juan Carlos I of Spain,Positive,Political Events,Europe,0.12907664,0.14105278,0.23925169,0.025502749,0.026730249,0.08393308,0.15028882,0.032880012,0.059731957,0.030581066,0.073163636,0.0078073246
895,2004 Madrid Train Bombings,11,March,2004,Spain,Terrorism,Madrid,Highlighted the threat of international terrorism,Citizens of Madrid,Terrorist groups,Negative,Crisis and Emergency Response,Europe,0.073654704,0.091308035,0.057209607,0.14383018,0.40216655,0.04452064,0.08356702,0.08000051,0.0013054658,0.0048060664,0.01656439,0.0010667099
896,SpanishUnknownAmerican War,25,April,1898,Spain/USA,War,"Cuba, Philippines, Puerto Rico, Guam",Spain loses its last colonies in the Americas and Asia,Spanish and American populations,"Spanish Government, US Government",Negative,Military and Conflict,Unknown,0.13257375,0.22809295,0.106201865,0.056431737,0.05297906,0.025367267,0.16264276,0.079187594,0.0352142,0.025801461,0.09017657,0.0053307116
897,Entry into the European Union,1,January,1986,Spain,Political/Economic Integration,Europe,Boosted economic growth and integration into European community,Spanish population,Spanish Government,Positive,Social and Cultural Events,Europe,0.11963843,0.115201935,0.13477896,0.031847123,0.012815436,0.24225506,0.17740288,0.021327158,0.0102916695,0.083918884,0.050459486,6.2998035e-05
898,Discovery of the Americas,12,October,1492,Spain,Exploration,Americas,Opened the New World to European colonization,"Indigenous peoples of the Americas, Europeans","Christopher Columbus, Spanish Monarchy",Mixed,Other,Europe,0.15994208,0.11880394,0.09446225,0.13155377,0.022873163,0.0965516,0.14737037,0.02640931,0.03580799,0.0688439,0.08419816,0.013183439
899,Expulsion of the Jews,31,March,1492,Spain,Religious/Political,Spain,"Forced conversion, departure, or death of thousands of Jews",Jewish population,Catholic Monarchs (Isabella I and Ferdinand II),Negative,Social and Cultural Events,Europe,0.137202,0.11488615,0.1302132,0.03753105,0.113725156,0.025494697,0.17155309,0.06278453,0.095175445,0.020596337,0.05764991,0.033188436
900,Battle of Trafalgar,21,October,1805,Spain,Naval Battle,Atlantic Ocean near Cape Trafalgar,Decisive British victory that ended Napoleon's plans to invade Britain,Spanish and French Navies,"FrancoUnknownSpanish fleet, British Navy",Negative,Social and Cultural Events,Europe,0.114821345,0.26580662,0.12827429,0.10079821,0.095143676,0.0168855,0.13887185,0.013256554,0.039395373,0.019061858,0.05925121,0.008433489
901,Union of Castile and Aragon,Unknown,Unknown,1469,Spain,Dynastic Union,Spain,Unified the crowns of Castile and Aragon,Spanish Kingdoms,Isabella I of Castile and Ferdinand II of Aragon,Positive,Social and Cultural Events,Europe,0.15119389,0.16274454,0.17201743,0.0076472554,0.0049884594,0.012740759,0.22597529,7.1422284e-05,0.08581312,0.014843555,0.14767358,0.01429072
902,The Spanish Golden Age,Unknown,Unknown,1650,Spain,Cultural Flourishing,Spain,Flourishing of arts and literature,Spanish population,Spanish Monarchy,Positive,Social and Cultural Events,Europe,0.16085082,0.06309135,0.0858475,0.024164863,0.03437468,0.03163523,0.27316573,0.037566844,0.05881441,0.0011699883,0.22712763,0.0021909634
903,War of the Spanish Succession,Unknown,Unknown,1701,Spain,War,Europe,Redefined European power balance,European powers,"Charles II, Philip V of Spain",Mixed,Military and Conflict,Europe,0.12945542,0.2215629,0.16279823,0.038196374,0.037061486,0.06777138,0.15311734,0.030491926,0.052725457,0.017150102,0.088274024,0.0013953851
904,Signing of the Treaty of Utrecht,11,April,1713,Spain,Peace Treaty,Utrecht,Ended the War of the Spanish Succession,European powers,"Philip V of Spain, European powers",Negative,Social and Cultural Events,Europe,0.114018776,0.18227912,0.16121185,0.049562853,0.024136221,0.0424997,0.17014661,0.020882662,0.09378205,0.05960119,0.08118842,0.00069049385
905,Peninsular War,2,May,1808,Spain,War,Iberian Peninsula,"Weakened Spanish control, rise of national sentiment",Spanish population,"Napoleon Bonaparte, Spanish guerrillas",Negative,Military and Conflict,Europe,0.13318484,0.26056868,0.13113639,0.02807441,0.06132177,0.0366695,0.14191766,0.064718574,0.04130674,0.012839308,0.07773092,0.010531138
906,Spanish Constitution of 1812,19,March,1812,Spain,Political,Cadiz,"Liberal constitution, shortUnknownlived reforms",Spanish population,Spanish Cortes of Cádiz,Mixed,Political Events,Europe,0.15315959,0.10530142,0.20450875,0.013471575,0.01725632,0.056317184,0.15556039,0.025490718,0.1468375,0.020642452,0.10092165,0.00053246773
907,SpanishUnknownAmerican War,Unknown,Unknown,1898,Spain,Colonial War,"Cuba, Philippines",Loss of last major overseas colonies,"Spanish Empire, local populations","Spanish Government, US Government",Negative,Social and Cultural Events,Europe,0.13749105,0.18900368,0.102423854,0.07819129,0.07697066,0.052108806,0.13815638,0.08290054,0.024111846,0.034803882,0.083132334,0.000705656
908,Francoist Spain,1,April,1939,Spain,Dictatorship,Spain,Establishment of a dictatorship,Spanish population,Francisco Franco,Negative,Social and Cultural Events,Europe,0.13249409,0.13865344,0.21814665,0.014023629,0.047531098,0.054140415,0.1988208,0.03195664,0.073896594,0.011829753,0.0770727,0.001434112
909,Spanish Transition to Democracy,Unknown,Unknown,1975,Spain,Political Transition,Spain,Transition from dictatorship to democracy,Spanish population,"Adolfo Suárez, Juan Carlos I",Positive,Political Events,Europe,0.1418826,0.13898773,0.21518454,0.02104926,0.023979288,0.08861534,0.17914163,0.029990153,0.0561749,0.01708636,0.08788933,1.8943303e-05
910,Barcelona Olympics,25,July,1992,Spain,International Event,Barcelona,Showcased Spain on the global stage,"International, Spanish population","International Olympic Committee, Spanish Government",Positive,Social and Cultural Events,Europe,0.043736022,0.047361623,0.031905204,0.20956986,0.060460914,0.022191416,0.3669192,0.026432725,0.002894725,0.12803912,0.06002852,0.00046062496
911,AntiUnknownterrorism Pact,8,December,2000,Spain,Political,Spain,Bipartisan effort against ETA terrorism,Spanish population,Spanish political parties,Positive,Political Events,Europe,0.09375566,0.10502715,0.15995234,0.077564485,0.1306925,0.072758265,0.09936763,0.058053277,0.078777604,0.09446364,0.029381204,0.00020622714
912,Financial Crisis Impact,Unknown,Unknown,2008,Spain,Economic,Spain,"Severe economic downturn, unemployment rise",Spanish population,Global Financial Crisis,Negative,Economic and Infrastructure Development,Europe,0.036502063,0.051597916,0.046984147,0.0066703307,0.079577185,0.47523287,0.03743896,0.24777566,0.0026726432,1.0725883e-05,0.0066244714,0.008912998
913,Catalan Independence Referendum,1,October,2017,Spain,Political/Secession,Catalonia,Intensified national debate on regional independence,"Catalan population, Spanish population","Catalan Government, Spanish Government",Negative,Social and Cultural Events,Europe,0.13268757,0.18525091,0.21469423,0.020439796,0.018904477,0.0478507,0.17634545,0.008941435,0.09814054,0.039170373,0.056943163,0.00063118193
914,Women's Rights March,8,March,2018,Spain,Social Movement,Nationwide,Largest feminist demonstration in Spanish history,"Spanish population, especially women",Women's rights organizations,Positive,Social and Cultural Events,Europe,0.20508888,0.07589245,0.14918825,0.0021345054,0.054014694,0.0136332465,0.25667018,0.014219186,0.14038724,0.02323535,0.06270574,0.0028302667
915,Exhumation of Francisco Franco,24,October,2019,Spain,Historical Reconciliation,Valle de los Caídos,Addressed historical memory issues,Spanish population,Spanish Government,Positive,Historical and Monumental,Europe,0.11444389,0.07731402,0.11735052,0.030668586,0.068404466,0.027342632,0.12625037,0.05649774,0.056172434,0.026076103,0.28962767,0.009851644
916,Madrid's Bid for 2020 Olympics,7,September,2013,Spain,International Event,Madrid,"Boosted city's infrastructure and global image, despite not winning the bid","Madrid's population, International","Spanish Government, IOC",Mixed,Social and Cultural Events,Europe,0.069839634,0.05658762,0.046082895,0.086871214,0.07646372,0.15291017,0.19793577,0.07046709,0.07477027,0.063656665,0.10144346,0.0029714047
917,Approval of SameUnknownSex Marriage,30,June,2005,Spain,Social Policy,Spain,Made Spain one of the first countries to legalize sameUnknownsex marriage,"LGBTQ+ community, Spanish population",Spanish Government,Positive,Social and Cultural Events,Europe,0.15830208,0.08075718,0.15189706,0.028063003,0.001042689,0.056876007,0.17521432,0.007945216,0.2108238,0.092070885,0.034634136,0.0023736777
918,ETA's Permanent Ceasefire,20,October,2011,Spain,Peace/Security,Basque Country,End of ETA's armed campaign for Basque independence,"Basque population, Spanish population","ETA, Spanish Government",Positive,Social and Cultural Events,Europe,0.12264724,0.19680718,0.17146066,0.028655073,0.06778443,0.061160117,0.14739767,0.027236924,0.08243245,0.03798021,0.046233058,0.010204992
919,Austerity Measures During Crisis,Unknown,Unknown,2010,Spain,Economic Policy,Spain,"Addressed economic crisis, led to social unrest",Spanish population,"Spanish Government, EU",Negative,Economic and Infrastructure Development,Europe,0.11492286,0.10446324,0.12757528,0.0066976794,0.09425093,0.2499406,0.08591635,0.15008427,0.02374231,0.029365743,0.0075659836,0.005474707
920,NoUnknownConfidence Vote Against Rajoy,1,June,2018,Spain,Political,Spain,"Led to the fall of Rajoy's government, Pedro Sánchez becomes Prime Minister",Spanish population,Spanish Parliament,Mixed,Political Events,Europe,0.17033246,0.10032746,0.21977556,0.009300623,0.025399115,0.115219556,0.17404743,0.06506543,0.018886726,0.009148161,0.058645766,0.033851687
921,Discovery of Altamira Cave Paintings,Unknown,Unknown,1879,Spain,Archaeological Discovery,Altamira,Revealed prehistoric human presence in Europe,"Academic community, worldwide",Marcelino Sanz de Sautuola,Positive,Historical and Monumental,Europe,0.098873876,0.058174994,0.020344708,0.099918135,0.08234592,0.0007459493,0.11872538,0.02304133,0.009230249,0.007213514,0.4744296,0.0069563054
922,Spanish Flu Pandemic,Unknown,Unknown,1918,Spain,Health Crisis,Worldwide,One of the deadliest pandemics in human history,Global population,H1N1 influenza virus,Negative,Environmental and Health,Europe,0.07677556,0.057533145,0.06951863,0.0844064,0.16694202,0.033210177,0.12501523,0.28734636,0.015088479,0.00016740627,0.0410246,0.042971972
923,Alhambra Decree,31,March,1492,Spain,Religious Policy,Granada,Expulsion of the Jews from Spain,Jewish population in Spain,Catholic Monarchs,Negative,Social and Cultural Events,Europe,0.13714042,0.13902526,0.14962117,0.02706371,0.08863382,0.003815924,0.21002522,0.023470646,0.13911915,0.017472193,0.061031006,0.0035814238
924,Spanish Constitution of 1978,6,December,1978,Spain,Political,Spain,Established modern democratic constitution,Spanish population,"Spanish Government, King Juan Carlos I",Positive,Political Events,Europe,0.14261407,0.08362317,0.22231707,0.01415199,0.0037003602,0.025910314,0.17508516,0.0058522956,0.2152998,0.026925601,0.08420845,0.0003117488
925,2010 FIFA World Cup Victory,11,July,2010,South Africa,Sports,Johannesburg,"First World Cup win, boosted national pride","Spanish population, international",Spanish National Football Team,Positive,Social and Cultural Events,Africa,0.094778694,0.15429115,0.0942356,0.08438046,0.014665747,0.023692276,0.26173082,0.067045815,0.011393839,0.143602,0.048118453,0.002065063
926,Launch of AVE HighUnknownSpeed Train,21,April,1992,Spain,Infrastructure,Between MadridUnknownSeville,Modernized Spain's transport system,"Spanish population, travelers",Spanish Government,Positive,Economic and Infrastructure Development,Europe,0.07104279,0.052206557,0.04059952,0.27334327,0.026346946,0.34496963,0.11617369,0.019399222,0.00927771,0.001097496,0.04398504,0.0015581668
927,Law of Historical Memory,26,December,2007,Spain,Legislation,Spain,"Addressed the legacy of Franco's regime, civil war victims",Spanish population,Spanish Government,Positive,Other,Europe,0.123235084,0.12428531,0.14700212,0.012447915,0.080065496,0.009883509,0.13467292,0.050121903,0.121571764,0.019864565,0.17038162,0.006467696
928,Sinking of the Spanish Armada,8,August,1588,England,Naval Engagement,English Channel,Marked decline of Spanish naval supremacy,"Spanish Navy, English Navy","Philip II of Spain, Elizabeth I of England",Negative,Social and Cultural Events,Unknown,0.111676864,0.22101629,0.120632134,0.07498367,0.06538707,0.05156932,0.13703084,0.07860176,0.039111894,0.008843703,0.07759189,0.013554588
929,The Great Siege of Gibraltar,24,June,1779,Gibraltar,Military Siege,Gibraltar,Failed Spanish attempt to retake Gibraltar from Britain,"British and Spanish military, Gibraltar residents","Spanish and French forces, British defenders",Negative,Military and Conflict,Unknown,0.09981604,0.29408112,0.12434317,0.10675352,0.081863195,0.021816004,0.1463948,0.0135379005,0.057825297,0.0086918585,0.04386961,0.0010074546
930,Leyes de Indias,Unknown,Unknown,1542,Spain,Colonial Legislation,Spanish America,Regulated the treatment of indigenous peoples in the Spanish Empire,"Indigenous populations, Spanish colonists",Spanish Crown,Mixed,Social and Cultural Events,Europe,0.22380419,0.10841705,0.13440914,0.018132886,0.02914238,0.06318027,0.14273104,0.03333204,0.12143563,0.023337092,0.10115201,0.0009263601
935,Introduction of Phoenician Trade,Unknown,Unknown,1100 BC,Spain,Economic/Cultural,Gadir (Cádiz),"Early Phoenician traders establish contacts, leading to cultural and economic exchanges","Local inhabitants, Phoenicians",Phoenician traders,Positive,Social and Cultural Events,Europe,0.20987639,0.06729439,0.08939806,0.03154008,0.00026828406,0.19442564,0.17663607,0.00023162948,0.021687979,0.07002606,0.138194,0.00042138336
936,Battle of Guadalete,Unknown,Unknown,711,Spain,Military Conquest,Guadalete River,Marked the beginning of Muslim rule in the Iberian Peninsula,"Visigothic Kingdom, Muslims","Tariq ibn Ziyad, King Roderic",Negative,Political Events,Europe,0.16515428,0.1292646,0.12937464,0.06540598,0.043773495,0.03468528,0.18309869,0.01676945,0.082000144,0.02815694,0.10540806,0.016908437
940,Establishment of Gadir by Phoenicians,Unknown,Unknown,1100 BC,Spain,Colonial Settlement,Gadir (Cádiz),One of the oldest continuously inhabited cities in Western Europe,"Local inhabitants, Phoenicians",Phoenician traders,Positive,Other,Europe,0.17850052,0.0892051,0.10299098,0.05563093,0.08578968,0.051973376,0.18446514,0.07104459,0.02751819,0.0079060625,0.1132118,0.031763785
941,Gorm the Old Reign,Unknown,Unknown,940,Denmark,Monarchical,Denmark,"Established the Danish monarchy, unified Denmark.",Danish tribes,Gorm the Old,Positive,Social and Cultural Events,Europe,0.105125986,0.15293145,0.16090384,0.039549455,0.028803956,0.057953782,0.1837468,0.054123126,0.027856272,0.10171543,0.06828616,0.0190038
942,Christianization of Denmark,Unknown,Unknown,960,Denmark,Religious,Denmark,Introduction and establishment of Christianity.,Danish population,Harald Bluetooth,Mixed,Social and Cultural Events,Europe,0.13384825,0.065233216,0.11215057,0.044723656,0.048266083,0.05225801,0.20879239,0.046795815,0.08972415,0.06464684,0.04507762,0.08848334
944,Christianization of Norway,Unknown,Unknown,1000,Norway,Religious,Norway,Introduction and establishment of Christianity.,Norwegian tribes,"Olaf Tryggvason, St. Olaf",Mixed,Social and Cultural Events,Europe,0.12868649,0.057339676,0.11937869,0.035582595,0.03716259,0.05838108,0.21454115,0.06534476,0.114736795,0.044056315,0.04247285,0.08231701
945,Swedish Conquest of Finland,Unknown,Unknown,1150,Finland,Military,Finland,Brought Finland under Swedish rule.,Finnish tribes,Swedish Kingdom,Negative,Military and Conflict,Europe,0.13210718,0.17805508,0.1526897,0.049594346,0.03674483,0.10764225,0.14023836,0.035017192,0.03511151,0.07961384,0.044001568,0.009184205
946,Establishment of the Kalmar Union,Unknown,Unknown,1397,Denmark,Political Union,"Kalmar, Sweden",United the Nordic countries under a single monarch.,Scandinavian kingdoms,Margaret I,Mixed,Political Events,Europe,0.14600722,0.13345179,0.19977133,0.02304218,0.01135479,0.06831292,0.1891741,0.016978303,0.08478774,0.08105222,0.044730876,0.0013365455
947,Black Death in Norway,Unknown,Unknown,1349,Norway,Pandemic,Norway,"Decimated the population, leading to societal shifts.",Norwegian population,Unknown,Negative,Environmental and Health,Europe,0.083569,0.07577406,0.08050463,0.02036428,0.14690837,0.07556349,0.12472902,0.29645464,0.035628445,0.006375201,0.03242911,0.021699725
948,Establishment as Swedish Duchy,Unknown,Unknown,1362,Finland,Administrative,Finland,Formalized Finnish inclusion in the Swedish Kingdom.,Finns,Swedish Crown,Mixed,Other,Europe,0.14425783,0.14266106,0.19198915,0.011246302,0.007343836,0.09782023,0.16726573,0.0048477375,0.09855184,0.09914136,0.034679014,0.00019588385
949,Treaty of Roskilde,26,February,1658,Denmark,Peace Treaty,Roskilde,Denmark ceded significant territories to Sweden.,DanishUnknownSwedish populations,Frederick III of Denmark,Negative,Social and Cultural Events,Europe,0.09894057,0.19354948,0.1203892,0.059290435,0.059993654,0.05910526,0.12535061,0.044947527,0.03482283,0.13065603,0.0662914,0.0066630333
950,Dissolution of the Kalmar Union,Unknown,Unknown,1814,Norway,Political Separation,Norway,Led to the establishment of a separate Norwegian kingdom.,Norwegians,Christian Frederick,Positive,Social and Cultural Events,Europe,0.1256683,0.18332423,0.21517454,0.0057003265,0.01841778,0.05245984,0.15695083,0.028135002,0.0734483,0.09086646,0.043819007,0.0060353396
951,Finnish War and Cession to Russia,Unknown,Unknown,1809,Finland,Military,Finland,"Finland ceded from Sweden to Russia, becoming a Grand Duchy.","Finns, Swedes, Russians",Alexander I of Russia,Negative,Military and Conflict,Europe,0.09392929,0.21192494,0.15873949,0.054322977,0.02904944,0.10690494,0.11461858,0.041382328,0.014298618,0.115414694,0.048878092,0.010536636
952,Winter War,Unknown,Unknown,1939,Finland,Military,Finland,Resisted Soviet invasion,Finns,Soviet Union,Mixed,Military and Conflict,Europe,0.086817116,0.2658484,0.1232627,0.08092013,0.08948573,0.03814097,0.10296505,0.04590457,0.012656062,0.06528652,0.07014325,0.018569494
953,Liberation of Denmark,5,May,1945,Denmark,Military,Denmark,End of German occupation during WWII.,Danes,Allied Forces,Positive,Military and Conflict,Europe,0.09678933,0.23051526,0.12610883,0.049103506,0.100601345,0.047322035,0.13654724,0.06676072,0.025738489,0.06824765,0.04821622,0.004049458
954,Liberation of Norway,8,May,1945,Norway,Military,Norway,End of German occupation during WWII.,Norwegians,Allied Forces,Positive,Military and Conflict,Europe,0.09111854,0.22419788,0.13270883,0.049233735,0.09336056,0.052609403,0.13785324,0.08397057,0.03350276,0.05278068,0.044374425,0.004289359
955,Continuation War,Unknown,Unknown,1941,Finland,Military,Finland,Fought against the Soviet Union,Soviet Union,Nazi Germany,Mixed,Military and Conflict,Europe,0.09632398,0.26282564,0.15594278,0.0509381,0.059572008,0.04624608,0.11566887,0.026443677,0.029084908,0.069463335,0.086220786,0.0012699154
956,Copenhagen Fire,Unknown,Unknown,1728,Denmark,Disaster,Copenhagen,Devastated large parts of Copenhagen.,Danish population,Unknown,Negative,Crisis and Emergency Response,Europe,0.029862175,0.08002942,0.024023548,0.09254314,0.3507959,0.022244612,0.075661264,0.27578887,0.00024260262,0.018976916,0.027190415,0.0026410744
957,Union with Sweden,4,November,1814,Norway,Union,Norway,Entered a personal union with Sweden.,Norwegians,Unknown,Mixed,Social and Cultural Events,Europe,0.116359085,0.16161926,0.14532919,0.0031355429,0.014218104,0.048302963,0.23783013,1.22822e-05,0.043903,0.15591222,0.041084316,0.032293797
958,Lapland War,Unknown,Unknown,1944,Finland,Military,Lapland,Finland,German soldiers,Finnish Army,Positive,Military and Conflict,Europe,0.110041015,0.19858861,0.08994765,0.11185297,0.084469795,0.07604196,0.13295875,0.09049604,0.015299067,0.042149458,0.034620747,0.01353393
959,First Schleswig War,Unknown,Unknown,1848,Denmark,Military,Schleswig,Danish victory preserved control over the duchies.,Danes,Germans,Positive,Military and Conflict,Europe,0.119162634,0.3039179,0.14457738,0.042726733,0.054717675,0.018517975,0.14592312,0.0101981405,0.030211536,0.05508977,0.07462985,0.00032724242
960,Norwegian Independence,7,June,1905,Norway,Independence,Norway,Dissolution of the union with Sweden,Norwegians,Unknown,Positive,Military and Conflict,Europe,0.10598982,0.19555429,0.17591293,0.030352436,0.04724178,0.05303032,0.17615186,0.038264412,0.06217695,0.076882504,0.038006246,0.00043649704
961,Finnish Civil War,Unknown,Unknown,1918,Finland,Civil War,Finland,Conflict between Reds and Whites,Finns,Unknown,Negative,Military and Conflict,Europe,0.12769337,0.25896037,0.112911314,0.038439415,0.084708415,0.042614516,0.1146043,0.049081977,0.04714568,0.03701682,0.07629196,0.010531926
962,Second Schleswig War,Unknown,Unknown,1864,Denmark,Military,Schleswig,Danish loss of SchleswigUnknownHolstein to Prussia and Austria.,Danes,Unknown,Negative,Military and Conflict,Europe,0.05154808,0.31696948,0.08087236,0.050666522,0.16767918,0.022341141,0.099632554,0.16016775,0.02436695,0.011429803,0.01195975,0.002366406
963,Founding of Oslo,Unknown,Unknown,1048,Norway,Foundational,Oslo,Establishment of Oslo,Norwegians,Harald Hardrada,Positive,Social and Cultural Events,Europe,0.11330514,0.0590581,0.14760421,0.08529751,0.045836035,0.07899593,0.22324154,0.02354439,0.042855076,0.088868566,0.053547606,0.037846
964,Signing of the Treaty of Fredrikshamn,Unknown,September,1809,Finland,Treaty,Fredrikshamn,Finland ceded from Sweden to Russia, Swedes,Alexander I of Russia,Negative,Political Events,Europe,0.08627518,0.15910968,0.141233,0.070610926,0.030204304,0.05154607,0.139834,0.030497948,0.05508268,0.17824727,0.04843273,0.00892625
969,Discovery of Diamonds,Unknown,Unknown,1867,South Africa,Economic,Kimberley,"Sparked the diamond rush, leading to economic boom.",South Africans,Erasmus Jacobs,Mixed,Economic and Infrastructure Development,Africa,0.11658914,0.06795817,0.061999783,0.12120186,0.050450005,0.27394244,0.11716925,0.007064527,0.004301246,0.005866873,0.12930684,0.044149928
970,Amalgamation of Northern and Southern Protectorates,Unknown,Unknown,1914,Nigeria,Political,Nigeria,Formation of the modern Nigerian state.,Nigerians,Lord Lugard,Mixed,Political Events,Africa,0.17022997,0.15973742,0.17595,0.04051071,0.012939483,0.079539984,0.1427981,0.016079273,0.08165118,0.05797782,0.06205968,0.000526338
971,Mau Mau Uprising,Unknown,Unknown,1952,Kenya,Independence Movement,Kenya,Led to Kenyan independence from British rule.,Kenyans,"Mau Mau fighters, British colonial government",Mixed,Military and Conflict,Africa,0.1696742,0.20398103,0.1754114,0.026229862,0.021544285,0.06725224,0.16808589,0.022851473,0.048821438,0.04087221,0.05386567,0.0014103325
972,Algerian War of Independence,Unknown,Unknown,1954,Algeria,War,Algeria,Led to Algerian independence from France.,Algerians,"FLN, French Government",Positive,Military and Conflict,Africa,0.11542529,0.27289522,0.16266118,0.057396203,0.02676132,0.07627767,0.15905571,0.011523944,0.033844914,0.048925083,0.023883786,0.011349681
973,Italian Invasion of Libya,Unknown,Unknown,1911,Libya,Military Invasion,Libya,Beginning of Italian colonial rule.,Libyans,Kingdom of Italy,Negative,Military and Conflict,Africa,0.15934859,0.18024692,0.15024647,0.07478194,0.056038577,0.045769498,0.17203279,0.008648275,0.04844347,0.025649443,0.07874123,5.2812353e-05
974,Independence from France,20,March,1956,Tunisia,Independence,Tunisia,End of French colonial rule.,Tunisians,"Habib Bourguiba, French Government",Positive,Military and Conflict,Africa,0.12180206,0.23968832,0.18711011,0.02498616,0.01536122,0.06293063,0.17542218,0.011450776,0.06640041,0.038619023,0.051279705,0.004949349
975,Great Zimbabwe Era,Unknown,Unknown,1450,Zimbabwe,Civilization,Great Zimbabwe,Development of a sophisticated urban and trading society.,Zimbabweans,Unknown,Positive,Other,Africa,0.21308458,0.021204386,0.08299792,0.048070878,0.041494608,0.19841078,0.15029539,0.050250735,0.059634887,0.03537868,0.07701184,0.022165349
976,Foundation of Marrakech,Unknown,Unknown,1062,Morocco,City Foundation,Marrakech,Establishment of Marrakech as a major economic center.,Moroccans,Almoravid dynasty,Positive,Political Events,Africa,0.12434931,0.025411164,0.13856678,0.019397091,0.0034274466,0.23431756,0.20610076,0.052695036,0.03151985,0.063948035,0.06930205,0.030964822
977,Portuguese Colonialism Begins,Unknown,Unknown,1482,Angola,Colonial,Angola,Start of Portuguese exploration and later colonization.,Angolans,Portuguese explorers,Negative,Other,Africa,0.18998553,0.14767784,0.10314746,0.10649931,0.016632516,0.09717716,0.1579117,0.02105313,0.03587696,0.024348117,0.09944421,0.000246079
978,Suez Canal Opening,17,November,1869,Egypt,Engineering Marvel,Suez Canal,"Connected the Mediterranean Sea to the Red Sea, boosting trade.",Global population,Ferdinand de Lesseps,Positive,Social and Cultural Events,Africa,0.09453607,0.13285443,0.062490035,0.16402385,0.01963151,0.24930757,0.098082714,0.025861597,0.0036223948,0.11726859,0.018547982,0.013773282
979,Rwandan Genocide,Unknown,April,1994,Rwanda,Genocide,Rwanda,Mass slaughter of the Tutsi population.,Rwandans,"Hutu government officials, militias",Negative,Crisis and Emergency Response,Africa,0.107245155,0.08303933,0.069700435,0.036165085,0.28124928,0.010054222,0.09655946,0.17472923,0.08318997,0.0036313108,0.050405882,0.004030617
980,Idi Amin's Regime,Unknown,Unknown,1971,Uganda,Dictatorship,Uganda,"Brutal dictatorship, human rights abuses.",Ugandans,Idi Amin,Negative,Social and Cultural Events,Africa,0.1448628,0.10002208,0.16791303,0.017282117,0.13202839,0.02540209,0.11440102,0.06751232,0.107997574,0.02267414,0.0879856,0.011918914
